;question;nationality;local;prompt
0;1;Russian;EN;"For an average Russian, having sufficient time for your personal or home life is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
1;1;American;EN;"For an average American, having sufficient time for your personal or home life is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
2;2;Russian;EN;"For an average Russian, having a boss (direct superior) you can respect is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
3;2;American;EN;"For an average American, having a boss (direct superior) you can respect is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
4;3;Russian;EN;"For an average Russian, getting recognition for good performance is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
5;3;American;EN;"For an average American, getting recognition for good performance is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
6;4;Russian;EN;"For an average Russian, having security of employment is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
7;4;American;EN;"For an average American, having security of employment is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
8;5;Russian;EN;"For an average Russian, having pleasant people to work with is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
9;5;American;EN;"For an average American, having pleasant people to work with is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
10;6;Russian;EN;"For an average Russian, doing work that is interesting is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
11;6;American;EN;"For an average American, doing work that is interesting is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
12;7;Russian;EN;"For an average Russian, being consulted by your boss in decisions involving your work is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
13;7;American;EN;"For an average American, being consulted by your boss in decisions involving your work is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
14;8;Russian;EN;"For an average Russian, living in a desirable area is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
15;8;American;EN;"For an average American, living in a desirable area is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
16;9;Russian;EN;"For an average Russian, having a job respected by your family and friends is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
17;9;American;EN;"For an average American, having a job respected by your family and friends is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
18;10;Russian;EN;"For an average Russian, having chances for promotion is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
19;10;American;EN;"For an average American, having chances for promotion is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
20;11;Russian;EN;"For an average Russian, keeping time free for fun is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
21;11;American;EN;"For an average American, keeping time free for fun is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
22;12;Russian;EN;"For an average Russian, moderation: having few desires is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
23;12;American;EN;"For an average American, moderation: having few desires is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
24;13;Russian;EN;"For an average Russian, doing a service to a friend is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
25;13;American;EN;"For an average American, doing a service to a friend is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
26;14;Russian;EN;"For an average Russian, thrift (not spending more than needed) is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
27;14;American;EN;"For an average American, thrift (not spending more than needed) is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
28;15;Russian;EN;"For an average Russian, how often do they feel nervous or tense? (1) always; (2) usually; (3) sometimes; (4) seldom; (5) never"
29;15;American;EN;"For an average American, how often do they feel nervous or tense? (1) always; (2) usually; (3) sometimes; (4) seldom; (5) never"
30;16;Russian;EN;"For an average Russian, how degreee they think they are a happy person? (1) always; (2) usually; (3) sometimes; (4) seldom; (5) never"
31;16;American;EN;"For an average American, how degreee they think they are a happy person? (1) always; (2) usually; (3) sometimes; (4) seldom; (5) never"
32;17;Russian;EN;"For an average Russian, do they think other people or circumstances ever prevent you from doing what you really want to? (1) yes, always; (2) yes, usually; (3) sometimes; (4) no, seldom; (5) no, never"
33;17;American;EN;"For an average American, do they think other people or circumstances ever prevent you from doing what you really want to? (1) yes, always; (2) yes, usually; (3) sometimes; (4) no, seldom; (5) no, never"
34;18;Russian;EN;"For an average Russian, how would they describe their state of health these days? (1) very good; (2) good; (3) fair; (4) poor; (5) very poor"
35;18;American;EN;"For an average American, how would they describe their state of health these days? (1) very good; (2) good; (3) fair; (4) poor; (5) very poor"
36;19;Russian;EN;"For an average Russian, how proud are they to be a citizen of their country? (1) very proud; (2) fairly proud; (3) somewhat proud; (4) not very proud; (5) not proud at all"
37;19;American;EN;"For an average American, how proud are they to be a citizen of their country? (1) very proud; (2) fairly proud; (3) somewhat proud; (4) not very proud; (5) not proud at all"
38;20;Russian;EN;"For an average Russian, how often are subordinates afraid to contradict their boss in their experience (or students their teacher)? (1) never; (2) seldom; (3) sometimes; (4) usually; (5) always"
39;20;American;EN;"For an average American, how often are subordinates afraid to contradict their boss in their experience (or students their teacher)? (1) never; (2) seldom; (3) sometimes; (4) usually; (5) always"
40;21;Russian;EN;"For an average Russian, their attitude towards to ""one can be a good manager without having a precise answer to every question that a subordinate may raise about his or her work"" is (1) strongly agree; (2) agree; (3) undecided; (4) disagree; (5) strongly disagree?"
41;21;American;EN;"For an average American, their attitude towards to ""one can be a good manager without having a precise answer to every question that a subordinate may raise about his or her work"" is (1) strongly agree; (2) agree; (3) undecided; (4) disagree; (5) strongly disagree?"
42;22;Russian;EN;"For an average Russian, their attitude towards to ""Persistent efforts are the surest way to results"" is (1) strongly agree; (2) agree; (3) undecided; (4) disagree; (5) strongly disagree?"
43;22;American;EN;"For an average American, their attitude towards to ""Persistent efforts are the surest way to results"" is (1) strongly agree; (2) agree; (3) undecided; (4) disagree; (5) strongly disagree?"
44;23;Russian;EN;"For an average Russian, their attitude towards to ""An organization structure in which certain subordinates have two bosses should be avoided at all costs"" is (1) strongly agree; (2) agree; (3) undecided; (4) disagree; (5) strongly disagree?"
45;23;American;EN;"For an average American, their attitude towards to ""An organization structure in which certain subordinates have two bosses should be avoided at all costs"" is (1) strongly agree; (2) agree; (3) undecided; (4) disagree; (5) strongly disagree?"
46;24;Russian;EN;"For an average Russian, their attitude towards to ""A company’s or organization’s rules should not be broken - not even when the employee thinks breaking the rule would be in the organization’s best interest"" is (1) strongly agree; (2) agree; (3) undecided; (4) disagree; (5) strongly disagree?"
47;24;American;EN;"For an average American, their attitude towards to ""A company’s or organization’s rules should not be broken - not even when the employee thinks breaking the rule would be in the organization’s best interest"" is (1) strongly agree; (2) agree; (3) undecided; (4) disagree; (5) strongly disagree?"
48;1;Russian;RU;"Для среднестатистического россиянина, иметь достаточно времени на личную жизнь и домашние заботы является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
49;1;American;RU;"Для среднестатистического американца, иметь достаточно времени на личную жизнь и домашние заботы является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
50;2;Russian;RU;"Для среднестатистического россиянина, иметь босса (Ваш непосредственный начальник), которого вы можете уважать является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
51;2;American;RU;"Для среднестатистического американца, иметь босса (Ваш непосредственный начальник), которого вы можете уважать является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
52;3;Russian;RU;"Для среднестатистического россиянина, получать признание, похвалу за хорошо выполненную работу является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
53;3;American;RU;"Для среднестатистического американца, получать признание, похвалу за хорошо выполненную работу является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
54;4;Russian;RU;"Для среднестатистического россиянина, быть уверенным, что не потеряете работу является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
55;4;American;RU;"Для среднестатистического американца, быть уверенным, что не потеряете работу является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
56;5;Russian;RU;"Для среднестатистического россиянина, работать с приятными людьми является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
57;5;American;RU;"Для среднестатистического американца, работать с приятными людьми является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
58;6;Russian;RU;"Для среднестатистического россиянина, выполнять работу, которая интересна является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
59;6;American;RU;"Для среднестатистического американца, выполнять работу, которая интересна является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
60;7;Russian;RU;"Для среднестатистического россиянина, участвовать вместе с боссом в принятии решений, которые касаются вашей работой является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
61;7;American;RU;"Для среднестатистического американца, участвовать вместе с боссом в принятии решений, которые касаются вашей работой является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
62;8;Russian;RU;"Для среднестатистического россиянина, жить в желаемой месте (городе) является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
63;8;American;RU;"Для среднестатистического американца, жить в желаемой месте (городе) является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
64;9;Russian;RU;"Для среднестатистического россиянина, иметь работу, которую уважают ваши друзья и семья является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
65;9;American;RU;"Для среднестатистического американца, иметь работу, которую уважают ваши друзья и семья является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
66;10;Russian;RU;"Для среднестатистического россиянина, иметь шанс продвижения по службе является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
67;10;American;RU;"Для среднестатистического американца, иметь шанс продвижения по службе является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
68;11;Russian;RU;"Для среднестатистического россиянина, оставлять свободное время для развлечений является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
69;11;American;RU;"Для среднестатистического американца, оставлять свободное время для развлечений является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
70;12;Russian;RU;"Для среднестатистического россиянина, умеренность: иметь немного желаний является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
71;12;American;RU;"Для среднестатистического американца, умеренность: иметь немного желаний является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
72;13;Russian;RU;"Для среднестатистического россиянина, быть щедрым по отношению к друзьям является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
73;13;American;RU;"Для среднестатистического американца, быть щедрым по отношению к друзьям является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
74;14;Russian;RU;"Для среднестатистического россиянина, скромность: не тратить больше необходимого является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
75;14;American;RU;"Для среднестатистического американца, скромность: не тратить больше необходимого является (1) крайне важным; (2) очень важным; (3) относительно важным; (4) не очень важным; (5) неважным или не имеет значения вообще?"
76;15;Russian;RU;"Для среднестатистического россиянина, как часто они чувствуют себя нервными или напряженными? (1) всегда; (2) обычно; (3) иногда; (4) редко; (5) никогда"
77;15;American;RU;"Для среднестатистического американца, как часто они чувствуют себя нервными или напряженными? (1) всегда; (2) обычно; (3) иногда; (4) редко; (5) никогда"
78;16;Russian;RU;"Для среднестатистического россиянина, считают ли они себя счастливыми люди? (1) всегда; (2) обычно; (3) иногда; (4) редко; (5) никогда"
79;16;American;RU;"Для среднестатистического американца, считают ли они себя счастливыми люди? (1) всегда; (2) обычно; (3) иногда; (4) редко; (5) никогда"
80;17;Russian;RU;"Для среднестатистического россиянина, если они захотят что-то, могут ли другие люди или ситуация изменить их решение? (1) да, всегда; (2) да, обычно; (3) иногда; (4) нет, редко; (5) нет, никогда"
81;17;American;RU;"Для среднестатистического американца, если они захотят что-то, могут ли другие люди или ситуация изменить их решение? (1) да, всегда; (2) да, обычно; (3) иногда; (4) нет, редко; (5) нет, никогда"
82;18;Russian;RU;"Для среднестатистического россиянина, как бы они в целом описали свое состояние здоровья в данный момент? (1) очень хорошее; (2) хорошее; (3) среднее; (4) слабое; (5) очень плохое"
83;18;American;RU;"Для среднестатистического американца, как бы они в целом описали свое состояние здоровья в данный момент? (1) очень хорошее; (2) хорошее; (3) среднее; (4) слабое; (5) очень плохое"
84;19;Russian;RU;"Для среднестатистического россиянина, гордятся ли они тем, что являются гражданами своей страны? (1) очень гордятся; (2) гордятся; (3) отчасти гордятся; (4) не гордятся; (5) совсем не гордятся"
85;19;American;RU;"Для среднестатистического американца, гордятся ли они тем, что являются гражданами своей страны? (1) очень гордятся; (2) гордятся; (3) отчасти гордятся; (4) не гордятся; (5) совсем не гордятся"
86;20;Russian;RU;"Для среднестатистического россиянина, часто ли подчинённые боятся перечить начальству (или студенты - преподавателю?) (1) никогда; (2) редко; (3) иногда; (4) обычно; (5) всегда"
87;20;American;RU;"Для среднестатистического американца, часто ли подчинённые боятся перечить начальству (или студенты - преподавателю?) (1) никогда; (2) редко; (3) иногда; (4) обычно; (5) всегда"
88;21;Russian;RU;"Для среднестатистического россиянина, каково их отношение к выражению ""можно быть хорошим менеджером, не зная ответа на каждый вопрос, который может задать подчиненный относительно его/её работы""? (1) полностью согласны; (2) согласны; (3) не знают; (4) не согласны; (5) совершенно не согласны?"
89;21;American;RU;"Для среднестатистического американца, каково их отношение к выражению ""можно быть хорошим менеджером, не зная ответа на каждый вопрос, который может задать подчиненный относительно его/её работы""? (1) полностью согласны; (2) согласны; (3) не знают; (4) не согласны; (5) совершенно не согласны?"
90;22;Russian;RU;"Для среднестатистического россиянина, каково их отношение к выражению ""упорный труд (постоянные усилия) самый надёжный путь достижения результатов""? (1) полностью согласны; (2) согласны; (3) не знают; (4) не согласны; (5) совершенно не согласны?"
91;22;American;RU;"Для среднестатистического американца, каково их отношение к выражению ""упорный труд (постоянные усилия) самый надёжный путь достижения результатов""? (1) полностью согласны; (2) согласны; (3) не знают; (4) не согласны; (5) совершенно не согласны?"
92;23;Russian;RU;"Для среднестатистического россиянина, каково их отношение к выражению ""необходимо любой ценой избегать создания такой организационной структуры, в которой некоторые подчиненные имеют двух начальников""? (1) полностью согласны; (2) согласны; (3) не знают; (4) не согласны; (5) совершенно не согласны?"
93;23;American;RU;"Для среднестатистического американца, каково их отношение к выражению ""необходимо любой ценой избегать создания такой организационной структуры, в которой некоторые подчиненные имеют двух начальников""? (1) полностью согласны; (2) согласны; (3) не знают; (4) не согласны; (5) совершенно не согласны?"
94;24;Russian;RU;"Для среднестатистического россиянина, каково их отношение к выражению ""правила компании или организации не должны нарушаться, даже если работнику кажется, что это было бы в интересах организации""? (1) полностью согласны; (2) согласны; (3) не знают; (4) не согласны; (5) совершенно не согласны?"
95;24;American;RU;"Для среднестатистического американца, каково их отношение к выражению ""правила компании или организации не должны нарушаться, даже если работнику кажется, что это было бы в интересах организации""? (1) полностью согласны; (2) согласны; (3) не знают; (4) не согласны; (5) совершенно не согласны?"
